Timestep 	 x_error[2] 	 command torques[4]
0.000161474	1.11555e-07 5.85797e-06	67.7748 37.6502 16.1531 4.69381
0.00105547	3.78252e-07 1.64328e-05	67.7638 37.6435 16.1494 4.69263
0.00205427	8.17563e-07 2.78905e-05	67.7519 37.6364 16.1454 4.69133
0.00305514	1.28847e-06 3.71307e-05	67.7422 37.6305 16.1421 4.69029
0.00405496	1.92679e-06  4.7258e-05	67.7316 37.6242 16.1385 4.68915
0.00505558	2.68395e-06 5.72399e-05	67.7211 37.6179  16.135 4.68802
0.0060547	3.55748e-06 6.70783e-05	67.7108 37.6116 16.1315 4.68691
0.00705449	4.54498e-06 7.67753e-05	67.7005 37.6055  16.128 4.68581
0.0080548	5.76004e-06 8.72807e-05	67.6894 37.5988 16.1243 4.68462
0.00905409	6.85251e-06 9.57519e-05	67.6804 37.5934 16.1213 4.68366
0.0100545	 8.1678e-06 0.000105035	67.6705 37.5874  16.118  4.6826
0.0110546	9.58775e-06 0.000114184	67.6607 37.5815 16.1147 4.68156
0.0120562	1.11101e-05 0.000123201	67.6511 37.5757 16.1114 4.68053
0.0130548	1.27327e-05 0.000132087	67.6415   37.57 16.1083 4.67952
0.0140544	1.44534e-05 0.000140843	67.6321 37.5643 16.1051 4.67852
0.0150546	  1.627e-05 0.000149473	67.6228 37.5587  16.102 4.67753
0.0160542	1.81804e-05 0.000157976	67.6136 37.5532 16.0989 4.67655
0.0170546	2.03878e-05 0.000167187	67.6035 37.5472 16.0956  4.6755
0.0180547	2.22746e-05 0.000174613	67.5955 37.5423 16.0929 4.67464
0.0190541	2.44542e-05  0.00018275	67.5866  37.537 16.0899 4.67371
0.0200584	2.67196e-05 0.000190767	67.5778 37.5317  16.087 4.67278
0.0210551	2.90688e-05 0.000198667	67.5691 37.5265 16.0841 4.67187
0.022054	3.14998e-05 0.000206451	67.5605 37.5213 16.0813 4.67097
0.023054	3.40109e-05  0.00021412	 67.552 37.5163 16.0785 4.67008
0.0240543	3.66001e-05 0.000221676	67.5436 37.5112 16.0757  4.6692
0.0250545	3.92657e-05  0.00022912	67.5353 37.5063  16.073 4.66834
0.0260541	4.20057e-05 0.000236455	67.5272 37.5013 16.0703 4.66749
0.0270628	4.48186e-05 0.000243681	67.5191 37.4965 16.0676 4.66664
0.0280546	4.77025e-05   0.0002508	67.5111 37.4917  16.065 4.66581
0.0291334	5.06557e-05 0.000257813	67.5032  37.487 16.0624 4.66499
0.0300587	5.36765e-05 0.000264722	67.4954 37.4823 16.0598 4.66419
