Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1] 	 colinearity[1]
8.6657e-05	2.20735e-09 1.42988e-07	21.5946  10.035  10.201 2.33608	65.6308 34.5127  14.423 4.01794	20.6537  12.982 10.3291 2.65285	0	-0.0129388	
0.00108223	-1.41727e-07  2.23069e-06	21.9308 10.0054 10.2291 2.33123	65.6308 34.5126  14.423 4.01795	20.6952 13.0104 10.3491 2.66131	0	-0.0152851	
0.00209245	-2.7709e-07 2.64266e-06	21.9205 9.99861 10.2243 2.32942	65.6307 34.5125  14.423 4.01799	20.6908 13.0074 10.3471 2.66056	0	-0.0150559	
0.00309206	-4.60102e-07  2.88712e-06	21.9101 9.99174 10.2195 2.32767	65.6306 34.5121 14.4229 4.01806	20.6862 13.0043  10.345 2.65985	0	-0.01483	
0.00409679	-6.88745e-07   2.9696e-06	21.8996 9.98481 10.2147 2.32598	65.6304 34.5117 14.4229 4.01816	20.6814 13.0011 10.3429 2.65916	0	-0.0146076	
0.00508326	-9.60947e-07  2.89541e-06	21.8888 9.97779   10.21 2.32436	65.6301 34.5111 14.4228 4.01829	20.6763 12.9977 10.3408  2.6585	0	-0.0143885	
0.00609245	-1.27459e-06  2.66965e-06	21.8779 9.97069 10.2053  2.3228	65.6298 34.5103 14.4227 4.01845	20.6711 12.9941 10.3386 2.65788	0	-0.0141727	
0.00709431	-1.62749e-06   2.2972e-06	21.8667  9.9635 10.2006  2.3213	65.6294 34.5094 14.4225 4.01864	20.6656 12.9904 10.3364 2.65729	0	-0.0139601	
0.00809236	-2.01743e-06  1.78275e-06	21.8553 9.95622 10.1959 2.31986	65.6289 34.5084 14.4224 4.01885	20.6598 12.9866 10.3342 2.65673	0	-0.0137507	
0.00905887	-2.44214e-06  1.13079e-06	21.8437 9.94883 10.1912 2.31849	65.6284 34.5072 14.4222  4.0191	20.6539 12.9826 10.3319  2.6562	0	-0.0135444	
0.0100561	-2.8993e-06 3.45607e-07	21.8318 9.94134 10.1865 2.31717	65.6278 34.5059 14.4221 4.01938	20.6477 12.9785 10.3296  2.6557	0	-0.0133413	
0.0110558	-3.38655e-06 -5.68712e-07	21.8196 9.93375 10.1817 2.31591	65.6272 34.5044 14.4219 4.01969	20.6413 12.9742 10.3272 2.65523	0	-0.0131411	
0.0120567	-3.90148e-06 -1.60825e-06	21.8072 9.92604  10.177 2.31471	65.6264 34.5028 14.4216 4.02003	20.6346 12.9697 10.3248 2.65479	0	-0.012944	
0.0130975	-4.44165e-06  -2.7693e-06	21.7944 9.91821 10.1722 2.31357	65.6257 34.5011 14.4214 4.02039	20.6277 12.9651 10.3224 2.65438	0	-0.0127499	
0.0140925	-5.00456e-06 -4.04829e-06	21.7814 9.91027 10.1674 2.31248	65.6248 34.4992 14.4212 4.02079	20.6206 12.9604 10.3199   2.654	0	-0.0125586	
0.0150564	-5.52823e-06 -5.29696e-06	21.9123 9.88875 10.1771 2.31005	 65.624 34.4974 14.4209 4.02117	 20.631 12.9676 10.3258 2.65712	0	-0.0133469	
0.0160648	-6.06812e-06 -6.64054e-06	21.9123 9.88875 10.1771 2.31005	65.6231 34.4955 14.4206 4.02158	20.6409 12.9745 10.3315 2.66022	0	-0.0141192	
0.01709	-6.81296e-06 -8.58708e-06	21.7319 9.88901 10.1518 2.30979	65.6219 34.4927 14.4203 4.02216	20.5971 12.9447 10.3118 2.65289	0	-0.0119584	
0.018056	-7.32288e-06 -9.97916e-06	22.0036 9.85245 10.1757 2.30602	 65.621 34.4908   14.42 4.02257	20.6247 12.9637  10.326 2.65956	0	-0.0137341	
0.0190564	 -8.0364e-06 -1.20081e-05	  21.87 9.85047 10.1568 2.30531	65.6197  34.488 14.4196 4.02317	20.5981 12.9457 10.3146 2.65577	0	-0.0125463	
0.0200819	  -8.765e-06 -1.41779e-05	21.6793 9.86691 10.1359 2.30764	65.6184  34.485 14.4192  4.0238	20.5715 12.9277 10.3033 2.65205	0	-0.0113849	
0.0210825	-9.43349e-06 -1.62575e-05	21.6637 9.85804 10.1308 2.30695	65.6171 34.4821 14.4189 4.02441	20.5628 12.9219 10.3006 2.65188	0	-0.0112141	
0.0220816	-1.01018e-05   -1.843e-05	21.6477 9.84905 10.1257 2.30631	65.6157 34.4791 14.4185 4.02504	20.5538  12.916 10.2977 2.65174	0	-0.0110458	
0.0230835	-1.07682e-05 -2.06943e-05	21.6313 9.83991 10.1205 2.30573	65.6143  34.476  14.418 4.02571	20.5446 12.9098 10.2949 2.65163	0	-0.0108801	
0.0240813	-1.13644e-05 -2.28089e-05	21.6149  9.8316 10.1156 2.30517	65.6129  34.473 14.4177 4.02633	20.5358  12.904 10.2921 2.65149	0	-0.0107135	
0.0250562	-1.20829e-05 -2.54897e-05	21.5974 9.82111 10.1098 2.30471	65.6112 34.4692 14.4172 4.02712	20.5255 12.8972  10.289 2.65149	0	-0.0105561	
0.0260573	-1.2662e-05 -2.7761e-05	21.7465 9.78168 10.1192 2.30075	65.6098  34.466 14.4167  4.0278	20.5336 12.9029 10.2945 2.65491	0	-0.0113777	
0.0270808	-1.33557e-05 -3.06355e-05	21.5586 9.80335 10.0985 2.30403	65.6079  34.462 14.4162 4.02866	20.5051 12.8837 10.2828 2.65142	0	-0.010227	
0.0280828	-1.39706e-05 -3.33418e-05	21.5398 9.79352 10.0929 2.30371	65.6062 34.4581 14.4157 4.02947	20.4947 12.8768 10.2797 2.65145	0	-0.0100734	
0.0290808	-1.45656e-05 -3.61299e-05	21.5204 9.78356 10.0871 2.30344	65.6043 34.4541 14.4151 4.03031	 20.484 12.8698 10.2766  2.6515	0	-0.00992221	
0.0300827	-1.51377e-05 -3.89986e-05	21.5005 9.77346 10.0813 2.30323	65.6025   34.45 14.4146 4.03118	20.4732 12.8626 10.2734 2.65159	0	-0.00977324	
0.0310859	-1.56829e-05  -4.1947e-05	  21.48 9.76326 10.0754 2.30307	65.6005 34.4457  14.414 4.03208	 20.462 12.8552 10.2701  2.6517	0	-0.00962651	
0.0321024	-1.62007e-05 -4.49741e-05	 21.459 9.75288 10.0694 2.30296	65.5985 34.4413 14.4135 4.03301	20.4506 12.8477 10.2669 2.65184	0	-0.00948194	
0.0330815	-1.66854e-05 -4.80793e-05	21.4374 9.74239 10.0632 2.30291	65.5965 34.4368 14.4129 4.03397	 20.439 12.8401 10.2635   2.652	0	-0.00933953	
0.0340866	-1.71338e-05  -5.1262e-05	21.4152 9.73181  10.057 2.30291	65.5943 34.4321 14.4122 4.03495	20.4272 12.8322 10.2601  2.6522	0	-0.00919927	
0.035061	-1.73851e-05 -5.32085e-05	21.4152 9.73181  10.057 2.30291	 65.593 34.4292 14.4119 4.03556	20.4885 12.8742 10.2912 2.66613	0	-0.0129947	
0.0360566	 -1.7918e-05 -5.78746e-05	21.4271 9.68957 10.0453 2.29962	65.5899 34.4223 14.4109 4.03701	20.4016 12.8154 10.2527  2.6525	0	-0.00885734	
0.037085	-1.82536e-05 -6.13245e-05	21.4029 9.67869 10.0387 2.29979	65.5875 34.4171 14.4103 4.03809	20.3891 12.8071 10.2492 2.65277	0	-0.00872424	
0.0380556	-1.84852e-05 -6.41383e-05	21.7447 9.58332 10.0624 2.28981	65.5856 34.4129 14.4097 4.03896	20.4131 12.8238 10.2629 2.65993	0	-0.0105608	
0.0390867	-1.87763e-05 -6.84587e-05	21.3477  9.6601 10.0246 2.30058	65.5827 34.4065 14.4089 4.04032	20.3627 12.7898 10.2417  2.6533	0	-0.00843476	
0.040085	-1.89609e-05 -7.21531e-05	21.3215 9.64892 10.0177 2.30092	65.5802  34.401 14.4082 4.04148	20.3494  12.781  10.238 2.65366	0	-0.00830797	
0.0410808	-1.90866e-05 -7.59215e-05	21.2945 9.63763 10.0106 2.30132	65.5776 34.3953 14.4074 4.04267	20.3358 12.7721 10.2343 2.65404	0	-0.00818306	
0.0420557	-1.91502e-05  -7.9764e-05	21.2669 9.62626 10.0033 2.30177	65.5749 34.3895 14.4067 4.04389	 20.322  12.763 10.2305 2.65444	0	-0.00806001	
0.0430554	-1.91481e-05 -8.36808e-05	21.2385 9.61481 9.99591 2.30228	65.5722 34.3835 14.4059 4.04513	 20.308 12.7538 10.2267 2.65488	0	-0.00793879	
0.0440543	-1.91215e-05 -8.56673e-05	21.9993 9.43779 10.0602 2.28419	65.5708 34.3805 14.4055 4.04577	20.3869 12.8077 10.2664  2.6724	0	-0.0127528	
0.0450543	-1.90155e-05 -8.97008e-05	22.4796 9.31811 10.0753 2.26476	 65.568 34.3743 14.4047 4.04705	20.3707 12.7973 10.2616  2.6729	0	-0.0124924	
0.0460772	-1.90155e-05 -8.97008e-05	22.4796 9.31811 10.0753 2.26476	 65.568 34.3743 14.4047 4.04705	20.3707 12.7973 10.2616  2.6729	0	-0.0124924	
0.047079	-1.87141e-05 -9.64067e-05	20.9392  9.6721 9.95688   2.314	65.5634 34.3642 14.4034 4.04918	20.2431 12.7108 10.2049 2.65246	0	-0.00644807	
0.0480892	-1.84314e-05 -0.000100732	20.9071 9.66162 9.94919 2.31499	65.5604 34.3576 14.4026 4.05054	20.2284 12.7011  10.201 2.65305	0	-0.00635088	
0.0491077	-1.78873e-05 -0.000106894	21.7086 9.39648 10.0122 2.29132	65.5561 34.3482 14.4014  4.0525	 20.311 12.7577 10.2458 2.67459	0	-0.0121133	
0.0500669	 -1.7049e-05 -0.000114119	21.7086 9.39648 10.0122 2.29132	 65.551 34.3372    14.4  4.0548	 20.181 12.6701 10.1882 2.65475	0	-0.00596765	
0.0510974	 -1.6477e-05 -0.000118294	20.9511 9.54979 9.92713 2.30715	65.5481 34.3308 14.3992 4.05613	20.1841 12.6726 10.1929 2.65884	0	-0.00686902	
0.0520603	 -1.5747e-05 -0.000123001	21.1152  9.4338 9.92518 2.29819	65.5448 34.3236 14.3983 4.05763	20.1679  12.662 10.1886  2.6595	0	-0.00676551	
0.0530584	-1.49154e-05 -0.000127786	21.0777 9.42232 9.91622 2.29937	65.5414 34.3163 14.3974 4.05916	20.1514 12.6512 10.1842 2.66019	0	-0.00666353	
0.054094	-1.39787e-05 -0.000132651	21.0392 9.41087 9.90708 2.30062	 65.538 34.3088 14.3965 4.06072	20.1347 12.6403 10.1798 2.66091	0	-0.00656306	
0.0550887	-1.29332e-05 -0.000137597	20.9999 9.39945 9.89776 2.30194	65.5345 34.3011 14.3955 4.06231	20.1178 12.6292 10.1754 2.66164	0	-0.00646408	
0.0560926	-1.17751e-05 -0.000142625	20.9595 9.38809 9.88826 2.30332	 65.531 34.2934 14.3945 4.06392	20.1005  12.618 10.1709  2.6624	0	-0.00636656	
0.0570927	-1.05008e-05 -0.000147737	20.9183 9.37679 9.87857 2.30478	65.5273 34.2854 14.3936 4.06556	20.0831 12.6066 10.1663 2.66319	0	-0.00627049	
0.0580945	-9.10654e-06 -0.000152933	 20.876 9.36559 9.86871  2.3063	65.5236 34.2774 14.3926 4.06723	20.0654  12.595 10.1617   2.664	0	-0.00617584	
0.0590976	-7.58861e-06 -0.000158215	20.8328 9.35449 9.85865  2.3079	65.5199 34.2692 14.3916 4.06893	20.0474 12.5833  10.157 2.66483	0	-0.0060826	
0.0600888	-6.78209e-06 -0.000160889	21.6463 9.09365 9.92054 2.28121	 65.518  34.265 14.3911 4.06979	 20.125 12.6362 10.1968  2.6826	0	-0.0109611	
0.0611029	-4.35336e-06 -0.000168512	21.3206 9.08967 9.86313 2.27881	65.5126 34.2533 14.3896 4.07223	20.0285 12.5715 10.1556 2.66983	0	-0.00679738	
0.062104	-2.65779e-06 -0.000173542	21.5289 9.00838 9.87049 2.27142	 65.509 34.2455 14.3887 4.07383	20.0289 12.5722 10.1596  2.6741	0	-0.00768829	
0.0630933	-6.50495e-07 -0.000179228	21.6267 8.94866 9.86488 2.26578	 65.505 34.2368 14.3876 4.07563	20.0094 12.5596 10.1545 2.67498	0	-0.00756385	
0.0640912	  1.7214e-06 -0.000185615	21.6267 8.94866 9.86488 2.26578	65.5005 34.2271 14.3865 4.07764	19.9705 12.5338 10.1403 2.67242	0	-0.00646301	
0.0650573	 3.55605e-06 -0.000190345	 21.291 9.01096 9.83334 2.27754	65.4972 34.2199 14.3856 4.07913	19.9896 12.5471 10.1532 2.68015	0	-0.00835821	
0.0660568	 6.48766e-06 -0.000197574	 21.639 8.90636 9.85479 2.26793	65.4972 34.2199 14.3856 4.07913	19.9896 12.5471 10.1532 2.68015	0	-0.00624044	
0.0670598	 9.36775e-06 -0.000204352	20.5309 9.25791 9.77189  2.3197	65.4873 34.1987 14.3832  4.0835	19.8911 12.4815 10.1157 2.67171	0	-0.00517597	
0.0680986	 1.13004e-05 -0.000208731	21.0469 9.02047 9.80212 2.29625	65.4843 34.1921 14.3824 4.08486	19.9292 12.5076 10.1376 2.68283	0	-0.00809444	
0.0690591	 1.51016e-05 -0.000217006	20.5764 9.14587 9.75049 2.31228	65.4785 34.1796  14.381 4.08743	19.8497 12.4546 10.1048 2.67375	0	-0.00496931	
0.0700593	 1.82156e-05 -0.000223505	20.5184  9.1378  9.7382 2.31495	65.4739 34.1699 14.3799 4.08943	 19.829 12.4412 10.0995 2.67485	0	-0.00489392	
0.071089	 2.15022e-05 -0.000230106	20.4591 9.13017 9.72571 2.31773	65.4694 34.1601 14.3788 4.09145	19.8081 12.4276 10.0942 2.67597	0	-0.00481963	
0.0720882	 2.49654e-05 -0.000236812	20.3988 9.12302 9.71302 2.32062	65.4647 34.1501 14.3776 4.09351	19.7869 12.4139 10.0888 2.67712	0	-0.00474644	
0.0730931	 2.86091e-05 -0.000243624	20.3372 9.11642 9.70013 2.32362	  65.46   34.14 14.3765 4.09559	19.7655    12.4 10.0833 2.67829	0	-0.00467432	
0.0740929	 3.24374e-05 -0.000250545	20.2745  9.1104 9.68704 2.32673	65.4552 34.1297 14.3754  4.0977	19.7438  12.386 10.0777 2.67947	0	-0.00460326	
0.0750981	 3.64543e-05 -0.000257576	20.2106 9.10501 9.67376 2.32997	65.4503 34.1193 14.3742 4.09983	19.7219 12.3718 10.0721 2.68068	0	-0.00453325	
0.0761112	 3.89566e-05 -0.000261849	20.8056 8.81805 9.71265 2.30294	65.4474  34.113 14.3735 4.10112	19.7786 12.4104 10.1031 2.69525	0	-0.00848238	
0.0771078	 4.32834e-05 -0.000269067	21.4675 8.52284 9.72382 2.26498	65.4425 34.1023 14.3723  4.1033	19.7552 12.3955 10.0968 2.69661	0	-0.00831606	
0.0780925	  4.8732e-05 -0.000277933	21.4675 8.52284 9.72382 2.26498	65.4364 34.0894 14.3709 4.10594	19.6921 12.3537 10.0721 2.69109	0	-0.00617148	
0.0790837	 5.44685e-05 -0.000287023	21.6181 8.40219 9.69925 2.24837	65.4303 34.0763 14.3695 4.10862	19.6293  12.312 10.0478 2.68543	0	-0.00410018	
0.080091	5.89688e-05 -0.00029397	20.5643 8.71382 9.62919 2.29529	65.4256 34.0663 14.3684 4.11066	19.6262 12.3104 10.0512    2.69	0	-0.0050697	
0.0810574	 6.31163e-05 -0.000300229	20.2391  8.8807 9.61823 2.32261	65.4214 34.0573 14.3674 4.11249	19.6423 12.3217 10.0636 2.69788	0	-0.00701538	
0.0820911	  7.016e-05 -0.00031059	 20.334 8.82689  9.6259 2.32302	65.4145 34.0426 14.3659  4.1155	19.5582  12.266 10.0295 2.68908	0	-0.00389225	
0.0830933	 7.58252e-05 -0.000318725	19.0413 10.0542 9.58417 2.46653	65.4091 34.0311 14.3647 4.11785	19.5343 12.2504 10.0235 2.69026	0	-0.00385135	
0.0840575	 8.17238e-05 -0.000326989	18.9841 10.0648 9.57084 2.47153	65.4036 34.0194 14.3634 4.12021	19.5102 12.2349 10.0173 2.69167	0	-0.00379234	
0.0851536	 8.53739e-05 -0.000332008	 18.969 10.2829 9.60539 2.50496	65.4004 34.0124 14.3627 4.12164	19.5649 12.2715  10.048 2.70548	0	-0.00779592	
0.0860584	9.42193e-05 -0.00034392	18.8498 10.1453 9.54549 2.48758	65.3926 33.9958 14.3609 4.12502	19.4602 12.2027 10.0042 2.69434	0	-0.00361565	
0.0870956	 0.000100821 -0.000352612	18.7928 10.1637 9.53224 2.49344	65.3871 33.9837 14.3596 4.12745	19.4354 12.1868 9.99789 2.69581	0	-0.00356009	
0.0880937	 0.000107665 -0.000361437	 18.736 10.1846 9.51898 2.49956	65.3815 33.9715 14.3582 4.12991	19.4104 12.1707 9.99147 2.69729	0	-0.00350535	
0.0890962	 0.000114755 -0.000370399	18.6794  10.208 9.50574 2.50596	65.3759 33.9592 14.3568 4.13239	19.3851 12.1545 9.98498  2.6988	0	-0.0034514	
0.0900938	 0.000122093 -0.000379498	 18.623 10.2342 9.49254 2.51265	65.3703 33.9468 14.3554  4.1349	19.3596 12.1382 9.97842 2.70032	0	-0.00339824	
0.0910581	 0.000129684 -0.000388737	 18.623 10.2342 9.49254 2.51265	65.3646 33.9342  14.354 4.13742	19.3339 12.1218 9.97179 2.70185	0	-0.00334586	
0.0920679	 0.000137531 -0.000398119	 18.512 10.2954 9.46632 2.52695	65.3589 33.9215 14.3525 4.13997	 19.308 12.1052  9.9651  2.7034	0	-0.00329424	
0.0930788	 0.000141551 -0.000402863	18.5518 11.0285 9.54692 2.61272	65.3561 33.9151 14.3517 4.14125	19.3812 12.1537 10.0049 2.71996	0	-0.00834219	
0.0940862	  0.00015231 -0.000415383	18.5355 11.6719 9.55266 2.67397	65.3486 33.8983 14.3497 4.14461	19.2932 12.0962 9.96919 2.71194	0	-0.00513578	
0.095056	 0.000160019 -0.000424235	18.5355 11.6719 9.55266 2.67397	65.3434 33.8866 14.3483 4.14695	19.2848 12.0909 9.97091 2.71586	0	-0.00604742	
0.0960644	 0.000170645 -0.000436255	18.9694  13.088 9.67199 2.81307	65.3366 33.8707 14.3463  4.1501	19.2173 12.0472 9.94482 2.71139	0	-0.00390249	
0.0970552	 0.000176093 -0.000442355	22.2261 18.1456 10.2139 3.27412	65.3331 33.8628 14.3453 4.15168	19.2634 12.0768 9.97242 2.72224	0	-0.0077207	
0.0980642	 0.000189214 -0.000456829	22.2261 18.1456 10.2139 3.27412	65.3251  33.844 14.3429  4.1554	 19.157 12.0082 9.92779  2.7128	0	-0.00352235	
0.0990642	 0.000198911 -0.000467378	24.1963 20.4215 10.4502 3.46581	65.3195 33.8305  14.341 4.15806	19.1271  11.989 9.91945  2.7137	0	-0.00335839	
0.100063	 0.000209887 -0.000479154	24.1806 20.3751 10.4131 3.46587	65.3135 33.8155 14.3388   4.161	19.0828 11.9611 9.90409 2.71354	0	-0.00238859	
0.101058	 0.000220153 -0.000490013	24.3267 20.5166 10.4198 3.48074	65.3081 33.8018 14.3366 4.16367	19.0555 11.9439 9.89688 2.71522	0	-0.00235103	
0.102056	 0.000230685 -0.000501013	24.4806 20.6645 10.4275 3.49613	65.3029  33.788 14.3344 4.16635	19.0281 11.9266 9.88961 2.71691	0	-0.00231403	
0.103057	  0.00024148 -0.000512152	24.6425  20.819  10.436 3.51204	65.2977 33.7741 14.3321 4.16904	19.0006 11.9094 9.88229 2.71859	0	-0.00227759	
0.104056	0.000252535 -0.00052343	24.8126 20.9801 10.4455 3.52847	65.2926 33.7602 14.3296 4.17173	 18.973 11.8921  9.8749 2.72028	0	-0.00224169	
0.105056	 0.000263848 -0.000534848	24.9912 21.1478 10.4558 3.54543	65.2877 33.7461  14.327 4.17443	18.9453 11.8747 9.86746 2.72197	0	-0.00220634	
0.106057	 0.000275416 -0.000546404	25.1784 21.3223 10.4672 3.56292	65.2828  33.732 14.3243 4.17713	18.9176 11.8574 9.85995 2.72366	0	-0.00217152	
0.107056	 0.000287238 -0.000558099	25.3745 21.5035 10.4795 3.58093	65.2781 33.7178 14.3215 4.17984	18.8897   11.84 9.85239 2.72536	0	-0.00213723	
0.108057	 0.000299311 -0.000569932	25.5795 21.6915 10.4927 3.59947	65.2734 33.7036 14.3186 4.18255	18.8617 11.8226 9.84477 2.72705	0	-0.00210346	
0.109058	 0.000311631 -0.000581903	25.7938 21.8862 10.5069 3.61853	65.2689 33.6892 14.3156 4.18527	18.8336 11.8051 9.83709 2.72875	0	-0.00207021	
0.110114	 0.000324196 -0.000594011	26.0174 22.0877 10.5069 3.61853	65.2645 33.6748 14.3125 4.18799	18.8055 11.7877 9.82935 2.73045	0	-0.00203745	
0.111058	 0.000337004 -0.000606255	26.2504 22.2959 10.5384 3.65821	65.2602 33.6603 14.3092 4.19071	18.7772 11.7702 9.82156 2.73215	0	-0.0020052	
0.112056	 0.000350052 -0.000618637	 26.493 22.5107 10.5556 3.67881	 65.256 33.6457 14.3058 4.19344	18.7489 11.7527 9.81371 2.73385	0	-0.00197345	
0.113058	 0.000363337 -0.000631153	26.7452 22.7321 10.5738 3.69992	65.2519 33.6311 14.3023 4.19617	18.7205 11.7352  9.8058 2.73555	0	-0.00194217	
0.114056	 0.000376855 -0.000643806	27.0071   22.96  10.593 3.72151	65.2479 33.6164 14.2987 4.19891	 18.692 11.7177 9.79784 2.73725	0	-0.00191138	
0.115057	 0.000391991 -0.000657879	18.0291 5.96863 8.83788 2.17948	65.2437 33.6002 14.2946 4.20192	18.6501 11.6923 9.78323 2.73814	0	-0.00112906	
0.116058	 0.000404582 -0.000669513	20.5208 4.80522  8.9176 2.03319	65.2402 33.5868 14.2912 4.20439	18.6431 11.6891 9.78537 2.74349	0	-0.00217153	
0.117057	 0.000418791 -0.000682571	20.2578 4.85308 8.89081  2.0454	65.2363 33.5718 14.2874 4.20717	 18.614 11.6713 9.77716 2.74518	0	-0.00213742	
0.118056	  0.00043324 -0.000695778	19.9949 4.90601   8.864 2.05812	65.2323 33.5567 14.2837 4.20997	18.5846 11.6533 9.76888 2.74689	0	-0.0021038	
0.119058	  0.00044942 -0.000710479	18.2478 12.8184 9.26073 2.86548	65.2276   33.54 14.2796 4.21309	18.5334 11.6206 9.75042  2.7448	0	-0.00103496	
0.120057	 0.000462891 -0.000722641	20.9465 16.7097 9.69344 3.21405	65.2238 33.5261 14.2763 4.21566	18.5227 11.6145 9.75125 2.74901	0	-0.0020124	
0.121056	 0.000478107 -0.000736297	21.1552 16.9729 9.71013 3.24007	65.2196 33.5107 14.2725 4.21852	18.4927 11.5962 9.74277 2.75079	0	-0.00198041	
0.122056	 0.000493587 -0.000750108	21.3779 17.2465  9.7283 3.26689	65.2155 33.4951 14.2687 4.22139	18.4626 11.5778 9.73421 2.75257	0	-0.0019489	
0.123092	0.000507743 -0.00076267	27.4246 23.5381  10.541 3.80186	65.2118 33.4811 14.2652 4.22399	 18.449 11.5696 9.73372 2.75603	0	-0.00281756	
0.124094	 0.000523721 -0.000776778	35.7585 30.7101 11.5547  4.3883	65.2078 33.4654 14.2611 4.22688	 18.415 11.5485  9.7233  2.7568	0	-0.00261152	
0.125093	 0.000541599 -0.000792482	 21.434  17.281 9.68881 3.27884	65.2036 33.4481 14.2565 4.23005	18.3714 11.5224   9.708 2.75792	0	-0.00183398	
0.126064	0.000558118 -0.00080692	 21.434  17.281 9.68881 3.27884	65.1999 33.4323 14.2522 4.23294	 18.341  11.504 9.69921  2.7597	0	-0.00180469	
0.127065	 0.000574888 -0.000821509	 21.706 17.6004 9.71305  3.3094	65.1962 33.4165 14.2478 4.23583	18.3104 11.4855 9.69036 2.76149	0	-0.00177584	
0.128058	0.000591907 -0.00083625	22.2989  18.272 9.76655 3.37302	65.1927 33.4006 14.2434 4.23873	18.2798 11.4671 9.68144 2.76329	0	-0.00174743	
0.129056	 0.000609177 -0.000851143	22.6204 18.6238 9.79583 3.40604	65.1892 33.3846 14.2388 4.24164	 18.249 11.4485 9.67246 2.76509	0	-0.00171945	
0.130057	 0.000628461 -0.000867703	 20.477 3.17695 8.60588 1.92378	65.1854 33.3669 14.2336 4.24485	18.2023 11.4204  9.6556 2.76548	0	-0.000828064	
0.131057	 0.000644465 -0.000881387	34.8085 4.73074 9.65899 1.87862	65.1824 33.3523 14.2294 4.24748	18.1936 11.4167 9.65691 2.77138	0	-0.00185343	
0.132056	  0.00066249 -0.000896739	34.2865  4.6548 9.60583 1.88297	65.1787 33.3361 14.2248 4.25044	18.1622 11.3979  9.6477 2.77319	0	-0.00182439	
