Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1]
5.7561e-05	9.75894e-08 5.79823e-06	0 0 0 0	65.6308 34.5127  14.423 4.01794	20.4037 12.8128 10.2081 2.60474	-0.727666	
0.0010555	2.75591e-07 1.62423e-05	66.7826 35.1308 14.7017 4.09328	65.6309 34.5126  14.423 4.01794	 20.404  12.813 10.2083 2.60481	-0.727666	
0.00205526	4.54678e-07 2.64912e-05	66.7279 35.1011  14.694 4.09081	65.6309 34.5125  14.423 4.01794	20.4044 12.8132 10.2085 2.60488	-0.727666	
0.00305645	6.34741e-07 3.65476e-05	66.7279 35.1011  14.694 4.09081	 65.631 34.5124 14.4229 4.01794	20.4047 12.8135 10.2086 2.60495	-0.727666	
0.00405495	8.15676e-07 4.64142e-05	66.6739 35.0718 14.6865 4.08837	 65.631 34.5123 14.4229 4.01795	 20.405 12.8137 10.2088 2.60502	-0.727666	
0.00505537	9.97379e-07 5.60935e-05	66.6206  35.043  14.679 4.08596	 65.631 34.5123 14.4229 4.01795	 20.405 12.8137 10.2088 2.60502	-0.727666	
0.00605557	1.17975e-06 6.55881e-05	66.5681 35.0145 14.6716 4.08359	65.6311 34.5122 14.4229 4.01795	20.4053 12.8139  10.209 2.60509	-0.727666	
0.00705669	1.36269e-06 7.49005e-05	66.5163 34.9864 14.6643 4.08125	65.6311 34.5121 14.4229 4.01795	20.4056  12.814 10.2091 2.60516	-0.727666	
0.00805497	1.54611e-06 8.40332e-05	66.4652 34.9587 14.6571 4.07894	65.6312  34.512 14.4228 4.01795	20.4061 12.8144 10.2094 2.60529	-0.727666	
0.00905551	1.72992e-06 9.29887e-05	66.4148 34.9314   14.65 4.07666	65.6312 34.5119 14.4228 4.01795	20.4064 12.8146 10.2096 2.60536	-0.727666	
0.0100665	1.72992e-06 9.29887e-05	66.3651 34.9044  14.643 4.07441	65.6312 34.5119 14.4228 4.01795	20.4064 12.8146 10.2096 2.60536	-0.727666	
0.0110601	2.09834e-06 0.000110378	66.3161 34.8778 14.6361 4.07219	65.6313 34.5117 14.4227 4.01796	20.4069  12.815 10.2099 2.60548	-0.727666	
0.0120561	2.28279e-06 0.000118816	66.2678 34.8516 14.6293    4.07	65.6313 34.5116 14.4227 4.01796	20.4072 12.8151   10.21 2.60555	-0.727666	
0.0130553	2.46729e-06 0.000127087	66.1731 34.8003  14.616 4.06571	65.6314 34.5116 14.4227 4.01796	20.4074 12.8153 10.2102 2.60561	-0.727666	
0.0140557	2.65176e-06 0.000135192	66.1731 34.8003  14.616 4.06571	65.6314 34.5116 14.4227 4.01796	20.4074 12.8153 10.2102 2.60561	-0.727666	
0.0150748	2.65176e-06 0.000135192	66.1268 34.7752 14.6094 4.06361	65.6314 34.5115 14.4227 4.01797	20.4076 12.8155 10.2103 2.60567	-0.727666	
0.0160648	2.83612e-06 0.000143135	66.0811 34.7505  14.603 4.06154	65.6314 34.5114 14.4226 4.01797	20.4079 12.8156 10.2105 2.60573	-0.727666	
0.0170547	3.20426e-06 0.000158539	66.0361 34.7261 14.5966 4.05949	65.6315 34.5112 14.4226 4.01798	20.4083 12.8159 10.2107 2.60585	-0.727666	
0.0180559	3.38789e-06 0.000166006	65.9917  34.702 14.5903 4.05748	65.6315 34.5111 14.4226 4.01798	65.6315 34.5111 14.4226 4.01798	-0.727666	
0.0190543	3.57113e-06 0.000173319	 65.948 34.6783 14.5841 4.05549	65.6315 34.5111 14.4226 4.01798	20.4085  12.816 10.2108 2.60591	-0.727666	
0.0200538	3.75394e-06  0.00018048	65.9048 34.6549  14.578 4.05353	65.6316  34.511 14.4225 4.01799	65.6316  34.511 14.4225 4.01799	-0.727666	
0.021054	3.93624e-06 0.000187492	65.8623 34.6318  14.572  4.0516	65.6316 34.5109 14.4225   4.018	65.6316 34.5109 14.4225   4.018	-0.727666	
0.0220579	4.11797e-06 0.000194355	65.8204 34.6091  14.566  4.0497	65.6316 34.5108 14.4225 4.01801	20.4093 12.8166 10.2113 2.60614	-0.727666	
0.0230568	4.29909e-06 0.000201073	65.7791 34.5867 14.5601 4.04782	65.6317 34.5107 14.4224 4.01801	20.4094 12.8167 10.2114 2.60619	-0.727666	
