Timestep 	 x_error[2] 	 command torques[4] 	 f contact[2]
5.9084e-05	9.03417e-08 5.80903e-06	0 0 0 0	-0 -0
0.00105554	3.09892e-05 2.74029e-05	 19.5428  4.85227 -8.60831 -2.17026	-0 -0
0.00205423	0.000536972 7.10604e-05	 19.4224  4.79961 -8.67389 -2.15551	-0 -0
0.00305714	0.00104279 0.00013678	 19.3047  4.74818 -8.73781 -2.14095	-0 -0
0.00405583	 0.00155121 0.000224561	 19.1891  4.69777 -8.80029 -2.12652	-0 -0
0.00505377	 0.00255172 0.000334399	 19.0758  4.64844 -8.86128 -2.11224	-0 -0
0.00605386	 0.00256019 0.000466291	 18.9663  4.60085 -8.91991  -2.0983	-0 -0
0.00705384	 0.00308381 0.000620233	 18.8559  4.55292 -8.97884  -2.0841	-0 -0
0.00805401	  0.0035976 0.000796219	 18.7492  4.50666 -9.03549 -2.07022	-0 -0
0.00905409	 0.00460324 0.000994244	 18.6445   4.4614  -9.0907 -2.05647	-0 -0
0.0100541	0.00461637  0.0012143	 18.5435  4.41776 -9.14367 -2.04304	-0 -0
0.0110578	0.00514679 0.00145638	 18.4411   4.3736 -9.19716 -2.02928	-0 -0
0.0120574	0.00566229 0.00172048	 18.3427  4.33128 -9.24809 -2.01591	-0 -0
0.0130562	0.00667396 0.00200659	 18.1525  4.24963  -9.3456 -1.98957	-0 -0
0.0140556	0.00669069 0.00231469	 18.1525  4.24963  -9.3456 -1.98957	-0 -0
0.0150564	0.00721857 0.00264478	 18.0585  4.20938 -9.39333 -1.97633	-0 -0
0.0160568	0.00773957 0.00299684	 17.9673  4.17041 -9.43921 -1.96331	-0 -0
0.0170552	0.00874182 0.00337087	  17.793   4.0962 -9.52555  -1.9379	-0 -0
0.0180575	0.00876122 0.00376685	  17.793   4.0962 -9.52555  -1.9379	-0 -0
0.0190548	0.00932062 0.00418476	 17.7021  4.05753 -9.57041  -1.9245	-0 -0
0.0200546	0.00984353  0.0046246	 17.6177  4.02179 -9.61128 -1.91182	-0 -0
0.021054	 0.0103674 0.00508634	  17.535  3.98676 -9.65099  -1.8992	-0 -0
0.0220547	 0.0108737 0.00556997	 17.4561   3.9535 -9.68821 -1.88694	-0 -0
0.023054	 0.0114135 0.00607548	 17.3744  3.91905 -9.72671 -1.87419	-0 -0
0.0240562	 0.0119166 0.00607548	 17.2961  3.88617 -9.76294 -1.86175	-0 -0
0.025055	 0.0124754 0.00715206	 17.1964   3.8388 -9.80841  -1.8532	-0 -0
0.0260541	0.0129695 0.0077231	 17.1467  3.82369 -9.83057 -1.83727	-0 -0
0.0270539	 0.0135091 0.00831593	 17.0709  3.79201 -9.86448 -1.82476	-0 -0
0.0280542	  0.014033 0.00893055	 16.9986  3.76188 -9.89614 -1.81256	-0 -0
0.0290539	 0.0145575 0.00956692	 16.9275  3.73235 -9.92676  -1.8004	-0 -0
0.0300547	 0.0150444 0.00956692	 16.8597  3.70426 -9.95524 -1.78852	-0 -0
0.0310549	0.0156137 0.0109049	 16.7883  3.67466 -9.98538 -1.77606	-0 -0
0.0320581	 0.016128 0.0116064	 16.7223  3.64748 -10.0121 -1.76418	-0 -0
0.0330722	 0.016638 0.0120377	 16.6569  3.62059 -10.0382 -1.75225	-0 -0
0.0340607	0.0171658 0.0130744	 16.6753  3.65096 -10.0283 -1.72399	-0 -0
0.0350584	0.0176816 0.0138408	 16.5291  3.56782 -10.0876 -1.72886	-0 -0
0.0360568	0.0182066 0.0146287	 16.4663  3.54217 -10.1112 -1.71689	-0 -0
0.0370595	0.0187437 0.0154383	 16.4031  3.51635 -10.1347 -1.70474	-0 -0
0.0380908	0.0192481 0.0162694	 16.3451  3.49286  -10.155 -1.69315	-0 -0
0.0390926	0.0197884  0.017122	 16.2835  3.46782 -10.1768 -1.68098	-0 -0
0.0400943	0.0203073 0.0179961	 16.2257  3.44445 -10.1963 -1.66917	-0 -0
0.0410728	0.0208088 0.0179961	 16.1684  3.42135 -10.2151 -1.65732	-0 -0
0.0421153	0.0213825 0.0198085	 16.1081  3.39697 -10.2351 -1.64496	-0 -0
0.0430987	0.0223528 0.0207468	 16.0571  3.37662 -10.2497 -1.63369	-0 -0
0.044093	0.0228716 0.0217065	 16.0051  3.35592 -10.2645 -1.62219	-0 -0
0.0450582	0.0228905 0.0226875	 15.9518  3.33467 -10.2796  -1.6104	-0 -0
0.0460951	0.0234251 0.0236898	 15.8973  3.31292  -10.295 -1.59834	-0 -0
0.0470676	0.0239419 0.0247134	 15.8459  3.29253 -10.3083 -1.58657	-0 -0
0.0480905	0.0244701 0.0257581	 15.7939  3.27189 -10.3216  -1.5746	-0 -0
0.0490588	 0.024974 0.0268241	 15.7457  3.25293 -10.3324 -1.56303	-0 -0
