Timestep 	 x_error[2] 	 command torques[5] 	 f contact[2]
0.000767054	 2.9251e-05 5.93505e-06	 34.8694   19.833  4.99602  -8.5771 -2.16034	-0 -0
0.00106089	0.000776261 4.26632e-05	 34.8694   19.833  4.99602  -8.5771 -2.16034	-0 -0
0.00208314	0.00103656 6.6152e-05	 34.7734  19.5407  4.85836  -8.7056 -2.13196	-0 -0
0.00305648	 0.00156086 0.000137602	 34.7453    19.46  4.83203 -8.77243 -2.11682	-0 -0
0.00405671	 0.00205006 0.000206246	 34.6812  19.2616  4.72731 -8.82784 -2.10416	-0 -0
0.00505647	 0.00255959 0.000311787	 34.6428  19.1475  4.67785 -8.88798 -2.09011	-0 -0
0.00608998	 0.00307015 0.000439585	 34.6052  19.0361  4.62975 -8.94659 -2.07619	-0 -0
0.00705724	 0.00358345 0.000605399	 34.5813  18.9696  4.61034 -9.00573 -2.06187	-0 -0
0.00805644	   0.004095 0.000760946	 34.5316  18.8187  4.53586 -9.05962 -2.04877	-0 -0
0.00905636	 0.00460909 0.000953583	 34.4954  18.7131  4.49043 -9.11402 -2.03525	-0 -0
0.0100573	0.00512302 0.00114806	 34.4471  18.5667  4.41821 -9.16546 -2.02231	-0 -0
0.0110564	0.00564208 0.00143342	 34.4396  18.5544  4.43204 -9.21989 -2.00798	-0 -0
0.0120578	0.00616192 0.00172283	 34.4187  18.4983  4.41728 -9.27149 -1.99432	-0 -0
0.0130583	0.00667765 0.00195004	 34.3574  18.3103  4.31753 -9.31817 -1.98222	-0 -0
0.014059	0.00720009 0.00231723	34.3515 18.3037 4.33374 -9.3679 -1.9683	-0 -0
0.0150759	0.00771906  0.0026474	 34.3184  18.2079  4.29243  -9.4142 -1.95549	-0 -0
0.0162885	 0.0082406 0.00299955	 34.2856  18.1137  4.25183 -9.45938 -1.94273	-0 -0
0.0170563	0.00876156 0.00337366	 34.2533  18.0213   4.2121 -9.50322 -1.93008	-0 -0
0.0180546	0.00927112 0.00372913	  34.208  17.8863   4.1448 -9.54453 -1.91809	-0 -0
0.0190543	0.00980506 0.00418772	 34.1904  17.8428  4.13583 -9.58709 -1.90496	-0 -0
0.0200549	 0.0103268 0.00462763	 34.1594  17.7554  4.09841 -9.62723 -1.89255	-0 -0
0.0210558	 0.0108492 0.00508945	 34.1288  17.6695  4.06171  -9.6662 -1.88019	-0 -0
0.0220557	 0.0113761 0.00557316	 34.0983  17.5846  4.02546 -9.70432 -1.86784	-0 -0
0.0230557	 0.0118961 0.00607875	 34.0686  17.5021  3.99032 -9.74075 -1.85566	-0 -0
0.0240553	 0.0124194 0.00660619	  34.039  17.4206  3.95567 -9.77627 -1.84349	-0 -0
0.0250542	 0.0129425 0.00715548	 34.0098  17.3406  3.92168 -9.81065 -1.83138	-0 -0
0.0260556	 0.0134646 0.00772647	 33.9809  17.2621   3.8884 -9.84384 -1.81935	-0 -0
0.0270574	 0.0139879 0.00831949	 33.9523  17.1848  3.85567 -9.87603 -1.80734	-0 -0
0.028055	  0.014513 0.00893417	 33.9239  17.1086  3.82344 -9.90726 -1.79535	-0 -0
0.029055	 0.0150378 0.00957062	 33.8958  17.0338  3.79182 -9.93742 -1.78341	-0 -0
0.0300644	 0.015562 0.0102288	  33.868  16.9602  3.76079 -9.96648 -1.77151	-0 -0
0.0310598	0.0160857 0.0109087	 33.8404  16.8879  3.73034 -9.99448 -1.75967	-0 -0
0.0320574	0.0166076 0.0116103	 33.8129  16.8162  3.70016 -10.0216 -1.74783	-0 -0
0.033085	0.0171305 0.0123335	 33.7858  16.7463  3.67081 -10.0475 -1.73606	-0 -0
0.0340821	0.0176533 0.0130784	 33.7589  16.6775  3.64196 -10.0725 -1.72432	-0 -0
0.0350837	0.0181763  0.013845	 33.7322  16.6097  3.61358 -10.0965  -1.7126	-0 -0
0.0360863	0.0186988 0.0146331	 33.7058   16.543  3.58569 -10.1195 -1.70091	-0 -0
0.0370845	0.0192209 0.0154427	 33.6795  16.4774  3.55828 -10.1416 -1.68924	-0 -0
0.0380853	0.0197427 0.0162739	 33.6533  16.4128  3.53131 -10.1627 -1.67759	-0 -0
0.0390565	 0.020268 0.0170403	 33.6121  16.2988  3.47366 -10.1848 -1.66621	-0 -0
0.0400627	0.0207873 0.0180008	 33.6018  16.2877  3.47947 -10.2022  -1.6543	-0 -0
0.0410595	0.0213136 0.0188965	 33.5759  16.2252  3.45346 -10.2209 -1.64261	-0 -0
0.0420758	0.0218322 0.0198134	 33.5502   16.164  3.42802 -10.2384 -1.63103	-0 -0
0.0430571	0.0223455 0.0207519	 33.5251  16.1048  3.40348 -10.2546 -1.61958	-0 -0
0.0440588	0.0228641 0.0217117	 33.4998  16.0458  3.37899 -10.2703 -1.60803	-0 -0
0.0450548	0.0233828 0.0226928	 33.4746  15.9875  3.35483 -10.2851 -1.59648	-0 -0
0.046055	0.0239004 0.0236952	 33.4495    15.93  3.33107 -10.2991 -1.58494	-0 -0
0.0470576	0.0244171 0.0247189	 33.4245  15.8735  3.30767 -10.3122 -1.57342	-0 -0
0.048056	0.0249344 0.0257638	 33.3996  15.8175  3.28454 -10.3246 -1.56188	-0 -0
0.0490556	0.0254525 0.0268298	 33.3746  15.7621  3.26166 -10.3362 -1.55032	-0 -0
0.0500582	0.0259698  0.027917	 33.3498  15.7075  3.23911  -10.347 -1.53877	-0 -0
0.0510567	0.0264792 0.0290253	 33.3253  15.6545  3.21727 -10.3566 -1.52733	-0 -0
0.0520567	0.0269918 0.0301547	 33.3007  15.6017  3.19551 -10.3656 -1.51583	-0 -0
0.0530551	0.0275052 0.0313051	 33.2761  15.5494  3.17396 -10.3739  -1.5043	-0 -0
0.0540556	  0.02802 0.0324765	 33.2514  15.4975  3.15257 -10.3816 -1.49273	-0 -0
0.0550551	0.0285311 0.0336689	 33.2269  15.4466  3.13163 -10.3883 -1.48121	-0 -0
0.0560541	0.0290379 0.0348821	 33.2027  15.3968  3.11115  -10.394 -1.46974	-0 -0
0.0570541	0.0295469 0.0361164	 33.1783  15.3472  3.09076 -10.3992 -1.45821	-0 -0
0.0580548	0.0300553 0.0373712	 33.1539  15.2982  3.07061 -10.4036 -1.44667	-0 -0
0.0590734	0.0305639 0.0387759	 33.1451  15.3019   3.0826 -10.4044 -1.43479	-0 -0
0.0600801	0.0310786 0.0399437	 33.1043  15.1993  3.02965 -10.4111 -1.42344	-0 -0
0.0610592	0.0315747 0.0411282	 33.0641   15.099  2.97768 -10.4162 -1.41233	-0 -0
0.0620566	0.0320811 0.0425989	 33.0556  15.1056  2.99118 -10.4147 -1.40037	-0 -0
0.0630573	0.0325838 0.0439574	 33.0314  15.0597  2.97232 -10.4154 -1.38882	-0 -0
0.0640588	0.0331378 0.0453365	 33.0049   15.008  2.95091 -10.4188 -1.37639	-0 -0
0.0650577	0.0335908 0.0467361	 32.9827   14.969  2.93505  -10.415 -1.36562	-0 -0
0.0660612	0.0341087 0.0482994	 32.9735  14.9753   2.9481 -10.4114 -1.35339	-0 -0
0.0670586	0.0345954 0.0495968	 32.9336  14.8786  2.89759 -10.4121 -1.34235	-0 -0
0.0680597	0.0350852 0.0503247	 32.8306  14.5713  2.71865 -10.4264 -1.33259	-0 -0
0.0690598	0.0355845  0.052539	 32.8877  14.8027  2.86821 -10.4045 -1.31912	-0 -0
