Timestep 	 x[2] 	 x_desired[2] 	 command torques[5] 	 f contact[2]
5.9674e-05	  3.24635 -0.187592	  3.24636 -0.187586	 34.8703  19.8355  4.99712 -8.57568 -2.16066	-0 -0
0.00105725	  3.24635 -0.187614	  3.24688 -0.187586	 34.8279   19.708  4.94107 -8.64314  -2.1458	-0 -0
0.00205722	  3.24635 -0.187657	  3.24738 -0.187586	  34.787  19.5854  4.88728 -8.70763 -2.13141	-0 -0
0.00309172	  3.24634 -0.187723	  3.24789 -0.187586	 34.7469  19.4653   4.8346  -8.7706 -2.11718	-0 -0
0.00409116	  3.24634 -0.187811	  3.24839 -0.187586	 34.7075  19.3474  4.78301 -8.83208 -2.10308	-0 -0
0.00509368	  3.24633 -0.187921	  3.24889 -0.187586	 34.6688  19.2318  4.73246 -8.89211 -2.08912	-0 -0
0.00609132	  3.24632 -0.188054	  3.24939 -0.187586	 34.6307  19.1183  4.68294  -8.9507 -2.07529	-0 -0
0.00709387	  3.24631 -0.188208	   3.2499 -0.187586	 34.5932  19.0071  4.63447 -9.00782  -2.0616	-0 -0
0.00809085	   3.2463 -0.188384	   3.2504 -0.187586	 34.5563   18.898  4.58699 -9.06353 -2.04803	-0 -0
0.00908972	  3.24629 -0.188582	   3.2509 -0.187586	   34.52  18.7909  4.54047 -9.11785 -2.03457	-0 -0
0.0100627	  3.24628 -0.188802	   3.2514 -0.187586	 34.4844   18.686  4.49494 -9.17075 -2.02124	-0 -0
0.0110592	  3.24626 -0.189045	  3.25189 -0.187586	 34.4501  18.5856  4.45146 -9.22083 -2.00834	-0 -0
0.0120757	  3.24625 -0.189309	  3.25189 -0.187586	 34.4501  18.5856  4.45146 -9.22083 -2.00834	-0 -0
0.0130599	  3.24623 -0.189595	  3.25241 -0.187586	 34.4145  18.4816  4.40647 -9.27269 -1.99485	-0 -0
0.0140736	  3.24622 -0.189904	  3.25341 -0.187586	  34.346  18.2826  4.32055 -9.37004 -1.96871	-0 -0
0.0150605	   3.2462 -0.190234	  3.25392 -0.187586	 34.3128   18.187   4.2794 -9.41638 -1.95587	-0 -0
0.0160591	  3.24618 -0.190586	  3.25442 -0.187586	 34.2803  18.0934  4.23917 -9.46132 -1.94314	-0 -0
0.0170566	 3.24616 -0.19096	  3.25492 -0.187586	 34.2481  18.0015  4.19972 -9.50503 -1.93049	-0 -0
0.0180564	  3.24614 -0.191357	  3.25542 -0.187586	 34.2164  17.9111  4.16102 -9.54755 -1.91791	-0 -0
0.0190563	  3.24612 -0.191775	  3.25592 -0.187586	  34.185  17.8224  4.12304  -9.5889 -1.90539	-0 -0
0.0200571	   3.2461 -0.192215	  3.25645 -0.187586	 34.1532  17.7327  4.08471 -9.63045 -1.89263	-0 -0
0.0210572	  3.24608 -0.192677	  3.25695 -0.187586	 34.1227  17.6473   4.0483 -9.66928 -1.88029	-0 -0
0.022057	  3.24606 -0.193161	  3.25743 -0.187586	 34.0933  17.5656  4.01353 -9.70573 -1.86829	-0 -0
0.0230595	  3.24604 -0.193666	  3.25793 -0.187586	 34.0634  17.4829  3.97836 -9.74243 -1.85603	-0 -0
0.0240576	  3.24602 -0.194194	  3.25845 -0.187586	 34.0332  17.3996  3.94295 -9.77916 -1.84356	-0 -0
0.0250835	    3.246 -0.194743	  3.25896 -0.187586	 34.0039  17.3196  3.90902 -9.81369  -1.8314	-0 -0
0.026113	  3.24597 -0.195314	  3.25944 -0.187586	 33.9759  17.2438    3.877 -9.84549 -1.81966	-0 -0
0.0270624	  3.24595 -0.195908	  3.25994 -0.187586	 33.9474  17.1669   3.8445 -9.87759 -1.80765	-0 -0
0.0280936	  3.24593 -0.196522	  3.26044 -0.187586	 33.9191  17.0913  3.81257 -9.90867 -1.79568	-0 -0
0.0291096	  3.24591 -0.197159	  3.26096 -0.187586	 33.8902  17.0141  3.78001 -9.94022 -1.78339	-0 -0
0.0300581	  3.24588 -0.197817	  3.26144 -0.187586	 33.8634  16.9437  3.75043 -9.96765 -1.77186	-0 -0
0.0310596	  3.24586 -0.198497	  3.26194 -0.187586	 33.8359  16.8717  3.72016 -9.99562    -1.76	-0 -0
0.0322389	  3.24584 -0.199199	  3.26246 -0.187586	 33.8078  16.7985  3.68941 -10.0239 -1.74787	-0 -0
0.0330908	  3.24581 -0.199996	  3.26296 -0.187586	 33.7958  16.7781  3.69083 -10.0485  -1.7358	-0 -0
0.03409	  3.24579 -0.200667	  3.26346 -0.187586	 33.7537  16.6592   3.6308 -10.0747 -1.72439	-0 -0
0.0350899	  3.24577 -0.201434	  3.26397 -0.187586	 33.7269  16.5912   3.6024 -10.0989  -1.7126	-0 -0
0.0360587	  3.24575 -0.202302	  3.26397 -0.187586	 33.7269  16.5912   3.6024 -10.0989  -1.7126	-0 -0
0.0370561	  3.24573 -0.203032	  3.26496 -0.187586	  33.674  16.4586  3.54688 -10.1439 -1.68929	-0 -0
0.0380572	  3.24571 -0.203863	  3.26545 -0.187586	 33.6487  16.3965  3.52108 -10.1637 -1.67792	-0 -0
0.0390593	  3.24569 -0.204716	  3.26595 -0.187586	 33.6225  16.3325  3.49447 -10.1842  -1.6662	-0 -0
0.0400917	 3.24567 -0.20559	  3.26645 -0.187586	 33.5967    16.27   3.4685 -10.2035 -1.65456	-0 -0
0.0410985	  3.24564 -0.206486	  3.26695 -0.187586	 33.5711  16.2086  3.44302 -10.2219 -1.64296	-0 -0
0.0420946	  3.24562 -0.207403	  3.26745 -0.187586	 33.5457   16.148  3.41793 -10.2393 -1.63137	-0 -0
0.043111	   3.2456 -0.208342	  3.26795 -0.187586	 33.5204  16.0885  3.39332 -10.2557 -1.61982	-0 -0
0.0440928	  3.24559 -0.209302	  3.26845 -0.187586	 33.4951  16.0297  3.36899 -10.2714 -1.60826	-0 -0
0.0451031	  3.24557 -0.210283	  3.26895 -0.187586	 33.4701  15.9719   3.3451 -10.2861 -1.59672	-0 -0
0.0461033	  3.24555 -0.211285	  3.26945 -0.187586	  33.445  15.9147  3.32151 -10.3001 -1.58517	-0 -0
0.0470566	  3.24553 -0.212413	  3.26945 -0.187586	  33.445  15.9147  3.32151 -10.3001 -1.58517	-0 -0
0.0480564	 3.24551 -0.21346	  3.26996 -0.187586	 33.4347  15.9073  3.32878 -10.3121 -1.57305	-0 -0
0.0490886	  3.2455 -0.21442	  3.27095 -0.187586	 33.3696  15.7448  3.25088 -10.3373 -1.55059	-0 -0
0.0501138	  3.24548 -0.215508	  3.27144 -0.187586	 33.3449  15.6907  3.22864  -10.348 -1.53905	-0 -0
0.0510902	  3.24546 -0.216616	  3.27196 -0.187586	 33.3195  15.6353  3.20577  -10.359 -1.52723	-0 -0
0.0520616	 3.24545 -0.21786	  3.27246 -0.187586	 33.3105  15.6345  3.21596 -10.3653 -1.51543	-0 -0
0.0530605	  3.24543 -0.218896	  3.27294 -0.187586	 33.2709  15.5316  3.16297 -10.3752  -1.5045	-0 -0
0.054057	  3.24542 -0.220068	  3.27344 -0.187586	 33.2464  15.4803  3.14192 -10.3826 -1.49296	-0 -0
0.0550576	 3.24541 -0.22126	  3.27394 -0.187586	 33.2219  15.4295  3.12109 -10.3894  -1.4814	-0 -0
0.0560578	   3.2454 -0.222474	  3.27444 -0.187586	 33.1975  15.3797  3.10063 -10.3953 -1.46986	-0 -0
0.0570593	  3.24538 -0.223708	  3.27495 -0.187586	 33.1724  15.3281  3.07945 -10.4017 -1.45802	-0 -0
0.05806	  3.24537 -0.224963	  3.27545 -0.187586	 33.1482  15.2798  3.05965 -10.4059 -1.44652	-0 -0
0.0590598	  3.24536 -0.226239	  3.27594 -0.187586	 33.1239  15.2317  3.03994 -10.4096 -1.43496	-0 -0
0.0600605	  3.24535 -0.227535	  3.27642 -0.187586	 33.1004  15.1865   3.0215 -10.4113 -1.42372	-0 -0
0.0610599	  3.24534 -0.228853	  3.27692 -0.187586	 33.0762  15.1396  3.00228 -10.4135 -1.41215	-0 -0
0.0620606	  3.24534 -0.230191	  3.27742 -0.187586	  33.052  15.0933  2.98332 -10.4149 -1.40058	-0 -0
0.063075	  3.24533 -0.231549	  3.27791 -0.187586	 33.0276  15.0473  2.96446 -10.4158 -1.38897	-0 -0
0.0640982	  3.24532 -0.232929	  3.27841 -0.187586	 33.0035  15.0023  2.94603 -10.4157 -1.37741	-0 -0
0.0650596	  3.24532 -0.234187	  3.27892 -0.187586	 32.9631  14.9036  2.89498 -10.4191 -1.36598	-0 -0
0.0660971	  3.24531 -0.235748	   3.2794 -0.187586	 32.9552  14.9143   2.9102 -10.4138 -1.35414	-0 -0
0.0670951	  3.24531 -0.237334	  3.27991 -0.187586	 32.9462  14.9218  2.92383 -10.4093 -1.34195	-0 -0
0.068096	  3.2453 -0.23865	  3.28041 -0.187586	 32.9058  14.8243  2.87299 -10.4101  -1.3307	-0 -0
0.0690871	   3.2453 -0.240131	  3.28041 -0.187586	 32.9058  14.8243  2.87299 -10.4101  -1.3307	-0 -0
0.0700885	   3.2453 -0.240131	   3.2809 -0.187586	 32.8816  14.7817  2.85554 -10.4067 -1.31907	-0 -0
